label_index,label_ar,treatment,baseline,baseline_mean_f1,treatment_mean_f1,mean_f1_delta,contrast
20,ق,full_relative_masked_mean,full_absolute_masked_mean,0.5815241052432704,0.649526168967844,0.06800206372457362,relative vs absolute quaternion
12,ش,full_relative_masked_mean,full_absolute_masked_mean,0.7065016824052969,0.7483908819519939,0.04188919954669701,relative vs absolute quaternion
22,ل,full_relative_masked_mean,full_absolute_masked_mean,0.5910079950511964,0.631099567099567,0.04009157204837066,relative vs absolute quaternion
9,ر,full_relative_masked_mean,full_absolute_masked_mean,0.663253791943097,0.6949140776630257,0.03166028571992874,relative vs absolute quaternion
14,ض,full_relative_masked_mean,full_absolute_masked_mean,0.4748967522384115,0.48257168246757004,0.00767493022915855,relative vs absolute quaternion
19,ف,full_relative_masked_mean,full_absolute_masked_mean,0.5665991026301448,0.5177377952849048,-0.04886130734523997,relative vs absolute quaternion
27,ي,full_relative_masked_mean,full_absolute_masked_mean,0.8748721262047058,0.8161993769470405,-0.0586727492576653,relative vs absolute quaternion
15,ط,full_relative_masked_mean,full_absolute_masked_mean,0.37178339106192454,0.3120189469862973,-0.059764444075627254,relative vs absolute quaternion
1,ب,full_relative_masked_mean,full_absolute_masked_mean,0.5603003003003003,0.49821618163953024,-0.06208411866077007,relative vs absolute quaternion
10,ز,full_relative_masked_mean,full_absolute_masked_mean,0.38444330308737085,0.3116217116217116,-0.07282159146565925,relative vs absolute quaternion
26,و,full_relative_masked_mean,full_absolute_masked_mean,0.7419354838709676,0.661757430548872,-0.0801780533220956,relative vs absolute quaternion
13,ص,full_relative_masked_mean,full_absolute_masked_mean,0.7060769507371449,0.6205316183792292,-0.08554533235791573,relative vs absolute quaternion
11,س,full_relative_masked_mean,full_absolute_masked_mean,0.7135961726483236,0.6233016983016983,-0.0902944743466253,relative vs absolute quaternion
24,ن,full_relative_masked_mean,full_absolute_masked_mean,0.5703592889775401,0.47542735042735046,-0.09493193855018961,relative vs absolute quaternion
8,ذ,full_relative_masked_mean,full_absolute_masked_mean,0.684357881923311,0.5634571265532381,-0.12090075537007294,relative vs absolute quaternion
25,ه,full_relative_masked_mean,full_absolute_masked_mean,0.8208616780045351,0.6897066637351362,-0.1311550142693989,relative vs absolute quaternion
5,ح,full_relative_masked_mean,full_absolute_masked_mean,0.7041801821613797,0.5705937580937581,-0.13358642406762156,relative vs absolute quaternion
2,ت,full_relative_masked_mean,full_absolute_masked_mean,0.6247870622331364,0.4409469318560228,-0.1838401303771136,relative vs absolute quaternion
4,ج,full_relative_masked_mean,full_absolute_masked_mean,0.8605585834670735,0.665456685791614,-0.1951018976754595,relative vs absolute quaternion
23,م,full_relative_masked_mean,full_absolute_masked_mean,0.9811320754716982,0.7829377394309359,-0.1981943360407623,relative vs absolute quaternion
7,د,full_relative_masked_mean,full_absolute_masked_mean,0.6355147735102045,0.39796659404502543,-0.23754817946517903,relative vs absolute quaternion
17,ع,full_relative_masked_mean,full_absolute_masked_mean,0.7724608130495731,0.45260243632336655,-0.3198583767262066,relative vs absolute quaternion
0,ا,full_absolute_final_hidden,full_absolute_masked_mean,0.5306013659836748,0.729333993122962,0.1987326271392872,final_hidden vs masked_mean
14,ض,full_absolute_final_hidden,full_absolute_masked_mean,0.4748967522384115,0.5469945010818471,0.07209774884343562,final_hidden vs masked_mean
1,ب,full_absolute_final_hidden,full_absolute_masked_mean,0.5603003003003003,0.6058000909994226,0.045499790699122244,final_hidden vs masked_mean
11,س,full_absolute_final_hidden,full_absolute_masked_mean,0.7135961726483236,0.746935088398503,0.03333891575017933,final_hidden vs masked_mean
