config,fold,label_index,label_ar,precision,recall,f1,support
full_absolute_masked_mean,02,12,ش,1.0,0.66,0.7951807228915663,50
full_absolute_masked_mean,02,13,ص,0.6666666666666666,1.0,0.8,50
full_absolute_masked_mean,02,14,ض,0.6222222222222222,0.56,0.5894736842105263,50
full_absolute_masked_mean,02,15,ط,0.4,0.72,0.5142857142857142,50
full_absolute_masked_mean,02,16,ظ,0.38461538461538464,0.3,0.33707865168539325,50
full_absolute_masked_mean,02,17,ع,0.9705882352941176,0.66,0.7857142857142857,50
full_absolute_masked_mean,02,18,غ,1.0,0.84,0.9130434782608695,50
full_absolute_masked_mean,02,19,ف,0.9375,0.6,0.7317073170731707,50
full_absolute_masked_mean,02,20,ق,0.6521739130434783,0.9,0.7563025210084033,50
full_absolute_masked_mean,02,21,ك,1.0,0.98,0.98989898989899,50
full_absolute_masked_mean,02,22,ل,1.0,0.54,0.7012987012987013,50
full_absolute_masked_mean,02,23,م,1.0,1.0,1.0,50
full_absolute_masked_mean,02,24,ن,0.6129032258064516,0.38,0.4691358024691358,50
full_absolute_masked_mean,02,25,ه,1.0,1.0,1.0,50
full_absolute_masked_mean,02,26,و,0.6447368421052632,0.98,0.7777777777777778,50
full_absolute_masked_mean,02,27,ي,1.0,1.0,1.0,50
full_absolute_masked_mean,03,0,ا,0.676923076923077,0.88,0.7652173913043478,50
full_absolute_masked_mean,03,1,ب,0.58,0.58,0.58,50
full_absolute_masked_mean,03,2,ت,0.5555555555555556,0.5,0.5263157894736842,50
full_absolute_masked_mean,03,3,ث,0.5490196078431373,0.56,0.5544554455445545,50
full_absolute_masked_mean,03,4,ج,0.6575342465753424,0.8421052631578947,0.7384615384615385,57
full_absolute_masked_mean,03,5,ح,0.6222222222222222,0.5714285714285714,0.5957446808510638,49
full_absolute_masked_mean,03,6,خ,0.975,0.78,0.8666666666666667,50
full_absolute_masked_mean,03,7,د,0.9761904761904762,0.82,0.8913043478260869,50
full_absolute_masked_mean,03,8,ذ,0.7674418604651163,0.66,0.7096774193548387,50
full_absolute_masked_mean,03,9,ر,0.5747126436781609,1.0,0.7299270072992701,50
full_absolute_masked_mean,03,10,ز,0.4666666666666667,0.84,0.6,50
full_absolute_masked_mean,03,11,س,1.0,0.46,0.6301369863013698,50
full_absolute_masked_mean,03,12,ش,1.0,0.48,0.6486486486486487,50
full_absolute_masked_mean,03,13,ص,0.5806451612903226,0.36,0.4444444444444444,50
full_absolute_masked_mean,03,14,ض,0.6764705882352942,0.92,0.7796610169491526,50
full_absolute_masked_mean,03,15,ط,0.6052631578947368,0.45098039215686275,0.5168539325842697,51
full_absolute_masked_mean,03,16,ظ,0.9487179487179487,0.74,0.8314606741573034,50
full_absolute_masked_mean,03,17,ع,0.7352941176470589,1.0,0.847457627118644,50
full_absolute_masked_mean,03,18,غ,0.9523809523809523,0.8,0.8695652173913043,50
full_absolute_masked_mean,03,19,ف,0.7727272727272727,0.34,0.4722222222222222,50
full_absolute_masked_mean,03,20,ق,0.6756756756756757,1.0,0.8064516129032258,50
full_absolute_masked_mean,03,21,ك,0.7,0.98,0.8166666666666667,50
full_absolute_masked_mean,03,22,ل,0.8333333333333334,0.29411764705882354,0.43478260869565216,51
full_absolute_masked_mean,03,23,م,1.0,1.0,1.0,51
full_absolute_masked_mean,03,24,ن,0.546875,0.7,0.6140350877192983,50
full_absolute_masked_mean,03,25,ه,1.0,1.0,1.0,50
full_absolute_masked_mean,03,26,و,0.6046511627906976,0.52,0.5591397849462365,50
full_absolute_masked_mean,03,27,ي,0.9523809523809523,1.0,0.975609756097561,60
full_relative_masked_mean,01,0,ا,0.8064516129032258,1.0,0.8928571428571429,50
full_relative_masked_mean,01,1,ب,0.967741935483871,0.5769230769230769,0.7228915662650602,52
full_relative_masked_mean,01,2,ت,0.5875,0.94,0.7230769230769231,50
full_relative_masked_mean,01,3,ث,0.9655172413793104,0.56,0.7088607594936709,50
full_relative_masked_mean,01,4,ج,0.6024096385542169,1.0,0.7518796992481203,50
full_relative_masked_mean,01,5,ح,0.5102040816326531,0.5,0.5050505050505051,50
full_relative_masked_mean,01,6,خ,0.6097560975609756,1.0,0.7575757575757576,50
full_relative_masked_mean,01,7,د,0.2815533980582524,0.58,0.3790849673202614,50
full_relative_masked_mean,01,8,ذ,0.5681818181818182,0.5,0.5319148936170213,50
full_relative_masked_mean,01,9,ر,1.0,0.38,0.5507246376811594,50
full_relative_masked_mean,01,10,ز,0.39473684210526316,0.3,0.3409090909090909,50
full_relative_masked_mean,01,11,س,0.6097560975609756,0.5,0.5494505494505495,50
full_relative_masked_mean,01,12,ش,0.5057471264367817,0.88,0.6423357664233577,50
full_relative_masked_mean,01,13,ص,0.6274509803921569,0.64,0.6336633663366337,50
full_relative_masked_mean,01,14,ض,0.16666666666666666,0.06,0.08823529411764706,50
full_relative_masked_mean,01,15,ط,0.3939393939393939,0.26,0.3132530120481928,50
full_relative_masked_mean,01,16,ظ,0.5535714285714286,0.62,0.5849056603773585,50
full_relative_masked_mean,01,17,ع,0.4444444444444444,0.32,0.37209302325581395,50
full_relative_masked_mean,01,18,غ,0.98,0.98,0.98,50
full_relative_masked_mean,01,19,ف,0.4186046511627907,0.36,0.3870967741935484,50
full_relative_masked_mean,01,20,ق,1.0,0.18,0.3050847457627119,50
full_relative_masked_mean,01,21,ك,1.0,0.82,0.9010989010989011,50
full_relative_masked_mean,01,22,ل,0.49333333333333335,0.74,0.592,50
full_relative_masked_mean,01,23,م,1.0,0.42,0.5915492957746479,50
full_relative_masked_mean,01,24,ن,0.5357142857142857,0.3,0.38461538461538464,50
full_relative_masked_mean,01,25,ه,0.5454545454545454,0.6,0.5714285714285714,50
full_relative_masked_mean,01,26,و,0.49382716049382713,0.8,0.6106870229007634,50
full_relative_masked_mean,01,27,ي,0.42105263157894735,0.48,0.4485981308411215,50
full_relative_masked_mean,02,0,ا,1.0,0.22,0.36065573770491804,50
full_relative_masked_mean,02,1,ب,0.4594594594594595,0.34,0.39080459770114945,50
full_relative_masked_mean,02,2,ت,0.2676056338028169,0.38,0.3140495867768595,50
full_relative_masked_mean,02,3,ث,1.0,0.74,0.8505747126436781,50
full_relative_masked_mean,02,4,ج,1.0,0.4117647058823529,0.5833333333333334,51
full_relative_masked_mean,02,5,ح,0.6716417910447762,0.9,0.7692307692307693,50
full_relative_masked_mean,02,6,خ,0.9090909090909091,1.0,0.9523809523809523,50
full_relative_masked_mean,02,7,د,0.582089552238806,0.78,0.6666666666666666,50
full_relative_masked_mean,02,8,ذ,0.7272727272727273,0.8,0.7619047619047619,50
full_relative_masked_mean,02,9,ر,0.5540540540540541,0.82,0.6612903225806451,50
full_relative_masked_mean,02,10,ز,0.21818181818181817,0.24,0.22857142857142856,50
full_relative_masked_mean,02,11,س,0.9210526315789473,0.7,0.7954545454545454,50
full_relative_masked_mean,02,12,ش,1.0,0.88,0.9361702127659575,50
full_relative_masked_mean,02,13,ص,0.8333333333333334,1.0,0.9090909090909091,50
full_relative_masked_mean,02,14,ض,0.524390243902439,0.86,0.6515151515151515,50
full_relative_masked_mean,02,15,ط,0.24691358024691357,0.4,0.3053435114503817,50
full_relative_masked_mean,02,16,ظ,0.5555555555555556,0.5,0.5263157894736842,50
full_relative_masked_mean,02,17,ع,0.6,0.48,0.5333333333333333,50
full_relative_masked_mean,02,18,غ,1.0,1.0,1.0,50
full_relative_masked_mean,02,19,ف,1.0,0.8,0.8888888888888888,50
full_relative_masked_mean,02,20,ق,1.0,0.98,0.98989898989899,50
full_relative_masked_mean,02,21,ك,0.8,0.96,0.8727272727272727,50
full_relative_masked_mean,02,22,ل,1.0,0.54,0.7012987012987013,50
full_relative_masked_mean,02,23,م,0.8064516129032258,1.0,0.8928571428571429,50
full_relative_masked_mean,02,24,ن,0.7727272727272727,0.34,0.4722222222222222,50
full_relative_masked_mean,02,25,ه,0.7777777777777778,0.98,0.8672566371681416,50
full_relative_masked_mean,02,26,و,1.0,0.76,0.8636363636363636,50
full_relative_masked_mean,02,27,ي,1.0,1.0,1.0,50
full_relative_masked_mean,03,0,ا,0.9259259259259259,0.5,0.6493506493506493,50
full_relative_masked_mean,03,1,ب,0.3157894736842105,0.48,0.38095238095238093,50
full_relative_masked_mean,03,2,ت,0.6923076923076923,0.18,0.2857142857142857,50
full_relative_masked_mean,03,3,ث,0.75,0.84,0.7924528301886793,50
full_relative_masked_mean,03,4,ج,0.625,0.7017543859649122,0.6611570247933884,57
full_relative_masked_mean,03,5,ح,0.44680851063829785,0.42857142857142855,0.4375,49
full_relative_masked_mean,03,6,خ,1.0,0.6,0.75,50
full_relative_masked_mean,03,7,د,1.0,0.08,0.14814814814814814,50
full_relative_masked_mean,03,8,ذ,0.3484848484848485,0.46,0.39655172413793105,50
full_relative_masked_mean,03,9,ر,0.8,0.96,0.8727272727272727,50
full_relative_masked_mean,03,10,ز,0.35185185185185186,0.38,0.36538461538461536,50
full_relative_masked_mean,03,11,س,0.7,0.42,0.525,50
full_relative_masked_mean,03,12,ش,0.9285714285714286,0.52,0.6666666666666666,50
full_relative_masked_mean,03,13,ص,0.5789473684210527,0.22,0.3188405797101449,50
full_relative_masked_mean,03,14,ض,0.6349206349206349,0.8,0.7079646017699115,50
full_relative_masked_mean,03,15,ط,0.8333333333333334,0.19607843137254902,0.31746031746031744,51
full_relative_masked_mean,03,16,ظ,0.7758620689655172,0.9,0.8333333333333334,50
full_relative_masked_mean,03,17,ع,0.5588235294117647,0.38,0.4523809523809524,50
full_relative_masked_mean,03,18,غ,0.8292682926829268,0.68,0.7472527472527473,50
full_relative_masked_mean,03,19,ف,0.27450980392156865,0.28,0.27722772277227725,50
full_relative_masked_mean,03,20,ق,0.4854368932038835,1.0,0.6535947712418301,50
full_relative_masked_mean,03,21,ك,0.4642857142857143,0.78,0.582089552238806,50
full_relative_masked_mean,03,22,ل,0.6122448979591837,0.5882352941176471,0.6,51
full_relative_masked_mean,03,23,م,0.7611940298507462,1.0,0.864406779661017,51
full_relative_masked_mean,03,24,ن,0.43617021276595747,0.82,0.5694444444444444,50
full_relative_masked_mean,03,25,ه,0.6904761904761905,0.58,0.6304347826086957,50
full_relative_masked_mean,03,26,و,0.40229885057471265,0.7,0.5109489051094891,50
full_relative_masked_mean,03,27,ي,1.0,1.0,1.0,60
full_absolute_final_hidden,01,0,ا,0.8620689655172413,1.0,0.9259259259259259,50
full_absolute_final_hidden,01,1,ب,0.696969696969697,0.8846153846153846,0.7796610169491526,52
full_absolute_final_hidden,01,2,ت,0.5681818181818182,1.0,0.7246376811594203,50
full_absolute_final_hidden,01,3,ث,0.6727272727272727,0.74,0.7047619047619048,50
full_absolute_final_hidden,01,4,ج,0.88,0.88,0.88,50
full_absolute_final_hidden,01,5,ح,0.8461538461538461,0.44,0.5789473684210527,50
full_absolute_final_hidden,01,6,خ,0.6567164179104478,0.88,0.7521367521367521,50
full_absolute_final_hidden,01,7,د,0.7073170731707317,0.58,0.6373626373626373,50
full_absolute_final_hidden,01,8,ذ,0.5434782608695652,0.5,0.5208333333333334,50
full_absolute_final_hidden,01,9,ر,0.7205882352941176,0.98,0.8305084745762712,50
full_absolute_final_hidden,01,10,ز,0.4444444444444444,0.16,0.23529411764705882,50
full_absolute_final_hidden,01,11,س,1.0,0.64,0.7804878048780488,50
full_absolute_final_hidden,01,12,ش,0.390625,1.0,0.5617977528089888,50
full_absolute_final_hidden,01,13,ص,0.6282051282051282,0.98,0.765625,50
full_absolute_final_hidden,01,14,ض,1.0,0.32,0.48484848484848486,50
full_absolute_final_hidden,01,15,ط,0.2,0.16,0.17777777777777778,50
full_absolute_final_hidden,01,16,ظ,0.6571428571428571,0.46,0.5411764705882353,50
full_absolute_final_hidden,01,17,ع,0.6111111111111112,0.44,0.5116279069767442,50
full_absolute_final_hidden,01,18,غ,0.49504950495049505,1.0,0.6622516556291391,50
full_absolute_final_hidden,01,19,ف,0.29411764705882354,0.2,0.23809523809523808,50
full_absolute_final_hidden,01,20,ق,0.0,0.0,0.0,50
full_absolute_final_hidden,01,21,ك,0.0,0.0,0.0,50
full_absolute_final_hidden,01,22,ل,0.46296296296296297,1.0,0.6329113924050633,50
full_absolute_final_hidden,01,23,م,0.9545454545454546,0.84,0.8936170212765957,50
full_absolute_final_hidden,01,24,ن,0.6666666666666666,0.52,0.5842696629213483,50
full_absolute_final_hidden,01,25,ه,0.9,0.36,0.5142857142857142,50
full_absolute_final_hidden,01,26,و,0.9743589743589743,0.76,0.8539325842696629,50
